70,Jermaine Andre,http://www.fightmetric.com/fighter-details/9bad58fa651d6196
71,Dylan Andrews,http://www.fightmetric.com/fighter-details/00debc804e2b1cd4
72,Reese Andy,http://www.fightmetric.com/fighter-details/46e2ca71fd5089cb
73,Yoji Anjo,http://www.fightmetric.com/fighter-details/e06fd1260ac865a7
74,Nina Ansaroff,http://www.fightmetric.com/fighter-details/d343df8ba11f4c4e
75,Adam Antolin,http://www.fightmetric.com/fighter-details/25b31165758402dd
76,Angelo Antonio,http://www.fightmetric.com/fighter-details/dbd198f780286aca
77,Shinsho Anzai,http://www.fightmetric.com/fighter-details/4665f9f909cd7214
78,Shinya Aoki,http://www.fightmetric.com/fighter-details/79ded75550efc139
79,Erik Apple,http://www.fightmetric.com/fighter-details/1ccff7f0cfdf85eb
80,Kenji Arai,http://www.fightmetric.com/fighter-details/269d103c96a4c3a5
81,Romie Aram,http://www.fightmetric.com/fighter-details/73ef22f25d0f70e2
82,Felipe Arantes,http://www.fightmetric.com/fighter-details/71002dbc1743b9a7
83,Igor Araujo,http://www.fightmetric.com/fighter-details/dbea8c1cb327ab3d
84,Tristan Arenal,http://www.fightmetric.com/fighter-details/9c9455912d917e4e
85,Andrei Arlovski,http://www.fightmetric.com/fighter-details/3738e68d2261e60f
86,Joey Armstrong,http://www.fightmetric.com/fighter-details/30ad2050273d016a
87,Ricardo Arona,http://www.fightmetric.com/fighter-details/05fbfe628658c538
88,Chalid Arrab,http://www.fightmetric.com/fighter-details/770b9d4813c25902
89,Akbarh Arreola,http://www.fightmetric.com/fighter-details/c136b2a8852da5bd
90,Matt Arroyo,http://www.fightmetric.com/fighter-details/de62052b2ede65ba
91,Gilles Arsene,http://www.fightmetric.com/fighter-details/2dea80c069847321
92,Scott Askham,http://www.fightmetric.com/fighter-details/06827d70c53ff0d9
93,Junior Assuncao,http://www.fightmetric.com/fighter-details/d0d7160824278840
94,Raphael Assuncao,http://www.fightmetric.com/fighter-details/2f13e4020cea5b38
