Kotetsu Boku,[u'Joachim Hansen']
Steve Steinbeiss,"[u'Rob Kimmons', u'Ryan Jensen', u'Carmelo Marrero']"
Aliev Makhmud,[u'Kiyoshi Tamura']
Anderson Silva,"[u'Chris Weidman', u'Chris Weidman', u'Stephan Bonnar', u'Chael Sonnen', u'Yushin Okami', u'Vitor Belfort', u'Chael Sonnen', u'Demian Maia', u'Forrest Griffin', u'Thales Leites', u'Patrick Cote', u'James Irvin', u'Dan Henderson', u'Rich Franklin', u'Nate Marquardt', u'Travis Lutter', u'Rich Franklin', u'Chris Leben', u'Tony Fryklund', u'Yushin Okami', u'Curtis Stout', u'Jorge Rivera', u'Ryo Chonan', u'Lee Murray', u'Jeremy Horn', u'Daiju Takase', u'Carlos Newton', u'Alexander Otsuka', u'Alex Stiebling', u'Roan Carneiro', u'Hayato Sakurai', u'Israel Albuquerque', u'Tetsuji Kato', u'Claudionor Fontinelle', u'Jose Barreto', u'Luiz Azeredo']"
Gary Padilla,[u'Ariel Gandulla']
Tatsuya Mizuno,"[u'Trevor Prangley', u'Sergei Kharitonov', u'Gegard Mousasi', u'Melvin Manhoef', u'Mirko Filipovic', u'Thiago Silva']"
Phillip Miller,"[u'Mark Weir', u'James Zikic']"
Keith Berry,"[u'Adlan Amagov', u'Gian Villante', u'Trevor Smith']"
Rolando Perez,"[u'Edgar Cardenas', u'Seth Dikun', u'Jose Aldo']"
Mike Bencic,"[u'Mario Sperry', u'Alistair Overeem']"
Ricardo Arona,"[u'Alistair Overeem', u'Wanderlei Silva', u'Mauricio Rua', u'Wanderlei Silva', u'Kazushi Sakuraba', u'Dean Lister', u'Sergey Ignatov', u'Quinton Jackson', u'Murilo Rua', u'Dan Henderson', u'Guy Mezger']"
Jeremy Horn,"[u'Rousimar Palhares', u'Dean Lister', u'Nate Marquardt', u'Chael Sonnen', u'Trevor Prangley', u'Chuck Liddell', u'Anderson Silva', u'Forrest Griffin', u'Gilbert Yvel', u'Akira Shoji', u'Elvis Sinosic', u'Eugene Jackson', u'Jason Godsey', u'Daiju Takase', u'Chuck Liddell', u'Frank Shamrock']"
Milton Vieira,"[u'Godofredo Pepey', u'Felipe Arantes', u'Sterling Ford', u'Hayato Sakurai']"
Sam Alvey,"[u'Dylan Andrews', u'Tom Watson']"
Andy Enz,"[u'Marcelo Guimaraes', u'Clint Hester']"
Shawn Jordan,"[u'Jack May', u'Matt Mitrione', u'Gabriel Gonzaga', u'Pat Barry', u'Mike Russow', u'Cheick Kongo', u'Oli Thompson', u'Lavar Johnson', u'Devin Cole']"
Teila Tuli,[u'Gerard Gordeau']
Josh Grispi,"[u'Andy Ogle', u'Rani Yahya', u'George Roop', u'Dustin Poirier', u'LC Davis', u'Jens Pulver', u'Micah Miller', u'Mark Hominick']"
Henry Miller,"[u'James Thompson', u'Makoto Takimoto', u'Mal Foki']"
Joe Moreira,"[u'Yuri Vaulin', u'Paul Varelans']"
Mike Polchlopek,[u'Ikuhisa Minowa']
Doug Evans,"[u'Mark Bocek', u'Roger Huerta']"
Ryuta Sakurai,"[u'Paulo Filho', u'Murilo Bustamante', u'Yushin Okami']"
Takafumi Otsuka,"[u'Bibiano Fernandes', u'Kenji Osawa', u'Kazuyuki Miyata', u'Bibiano Fernandes']"
Jose Aldo,"[u'Chad Mendes', u'Ricardo Lamas', u'Frankie Edgar', u'Chad Mendes', u'Kenny Florian', u'Mark Hominick', u'Manvel Gamburyan', u'Urijah Faber', u'Mike Brown', u'Cub Swanson', u'Chris Mickle', u'Rolando Perez', u'Jonathan Brookins']"
Wallid Ismail,"[u'Alex Stiebling', u'Shungo Oyama', u'Akira Shoji', u'Yoshiki Takahashi']"
Charlie Valencia,"[u'Ivan Menjivar', u'Miguel Torres', u'Akitoshi Tamura', u'Coty Wheeler', u'Seth Dikun', u'Dominick Cruz', u'Yoshiro Maeda', u'Ian McCall', u'Brian Bowles', u'Antonio Banuelos']"
Vagner Rocha,"[u'Jake Matthews', u'Jonathan Brookins', u'Cody McKenzie', u'Donald Cerrone', u'Bret Bergmark']"
Oli Thompson,[u'Shawn Jordan']
Robbie Lawler,"[u'Johny Hendricks', u'Matt Brown', u'Jake Ellenberger', u'Johny Hendricks', u'Rory MacDonald', u'Bobby Voelker', u'Josh Koscheck', u'Lorenz Larkin', u'Adlan Amagov', u'Tim Kennedy', u'Matt Lindland', u'Renato Sobral', u'Melvin Manhoef', u'Jake Shields', u'Scott Smith', u'Scott Smith', u'Murilo Rua', u'Joey Villasenor', u'Evan Tanner', u'Nick Diaz', u'Chris Lytle', u'Pete Spratt', u'Tiki Ghosn', u'Steve Berger', u'Aaron Riley']"
Kestutis Smirnovas,"[u'Yoshihiro Akiyama', u'Kazushi Sakuraba']"
Denis Kang,"[u'Melvin Manhoef', u'Michael Bisping', u'Xavier Foupa-Pokam', u'Alan Belcher', u'Gegard Mousasi', u'Yoshihiro Akiyama', u'Kazuo Misaki', u'Akihiro Gono', u'Amar Suloev', u'Murilo Rua', u'Mark Weir', u'Andrei Semenov', u'Takahiro Oba']"
Eugene Jackson,"[u'Joe Riggs', u'Ronald Jhun', u'Mike Seal', u'Jorge Ortiz', u'Mark Weir', u'Keith Rockel', u'Ricardo Almeida', u'Jeremy Horn', u'Sanae Kikuta', u'Keiichiro Yamamiya', u'Royce Alger']"
Azamat Gashimov,"[u'John Lineker', u'Ivan Menjivar']"
Pat Healy,"[u'Gleison Tibau', u'Jorge Masvidal', u'Bobby Green', u'Khabib Nurmagomedov', u'Jim Miller', u'Kurt Holobaugh', u'Mizuto Hirota', u'Caros Fodor', u'Maximo Blanco', u'Eric Wisely', u'Lyle Beerbohm', u'Josh Thomson', u'Bryan Travers', u'Anthony Torres', u'Tiki Ghosn', u'Chris Lytle']"
Alex White,"[u'Clay Collard', u'Lucas Martins', u'Estevan Payan']"
Ramsey Nijem,"[u'Beneil Dariush', u'Justin Edwards', u'James Vick', u'Myles Jury', u'Joe Proctor', u'CJ Keith', u'Danny Downes', u'Tony Ferguson']"
Valentijn Overeem,"[u'Chad Griggs', u'Ray Sefo', u'Ron Waterman', u'Aaron Brink', u'Igor Vovchanchyn', u'Assuerio Silva', u'Gary Goodridge']"
Luiz Dutra,[u'Kiichi Kunimoto']
Mike Pyle,"[u'Jordan Mein', u'Matt Brown', u'Rick Story', u'James Head', u'Josh Neer', u'Ricardo Funch', u'Rory MacDonald', u'Ricardo Almeida', u'John Hathaway', u'Jesse Lennox', u'Jake Ellenberger', u'Chris Wilson', u'Brock Larson', u'JJ Ambrose', u'Jake Shields', u'Aaron Wetherspoon', u'Shonie Carter', u'Bret Bergmark']"
Kazuyuki Miyata,"[u'Tatsuya Kawajiri', u'Hiroyuki Takaya', u'Caol Uno', u'Takeshi Inoue', u'Takafumi Otsuka', u'Daiki Hata', u'Luiz Firmino']"
Gilbert Yvel,"[u'Jon Madsen', u'Ben Rothwell', u'Josh Barnett', u'Akira Shoji', u'Roman Zentsov', u'Ikuhisa Minowa', u'Jeremy Horn', u'Don Frye', u'Igor Vovchanchyn', u'Kazuyuki Fujita', u'Wanderlei Silva', u'Gary Goodridge', u'Vitor Belfort']"
Justin Eilers,"[u'Brandon Vera', u'Andrei Arlovski', u'Paul Buentello', u'Mike Kyle']"
Dino Pezao,[u'Thiago Silva']
Estevan Payan,"[u'Alex White', u'Robert Peralta', u'Jeremy Stephens', u'Michael Bravo', u'Alonzo Martinez']"
Josh Thornburg,"[u'James Terry', u'Roger Bowling']"
Bobby Lashley,"[u'Chad Griggs', u'Wes Sims']"
Nick Hein,"[u'James Vick', u'Drew Dober']"
Rafael Freitas,[u'Mauricio Rua']
Jean Silva,[u'Takanori Gomi']
David Levicki,[u'Johnny Rhodes']
Dwayne Cason,"[u'Mark Kerr', u'Houston Dorr']"
Colin Robinson,"[u'Antoni Hardonk', u'Eddie Sanchez']"
Brian Foster,"[u'Matt Brown', u'Forrest Petz', u'Chris Lytle', u'Brock Larson', u'Rick Story']"
Chase Beebe,"[u'Hiroyuki Takaya', u'Yoshiro Maeda', u'Joe Warren', u'Will Ribeiro', u'Miguel Torres', u'Rani Yahya', u'Eddie Wineland']"
Kiichi Kunimoto,"[u'Richard Walsh', u'Daniel Sarafian', u'Luiz Dutra']"
Kyle Bradley,"[u'Phillipe Nover', u'Joe Lauzon', u'Chris Lytle']"
Rainy Martinez,[u'Jerry Bohlander']
Maurice Smith,"[u'Rick Roufus', u'Renato Sobral', u'Bobby Hoffman', u'Branko Cikatic', u'Marco Ruas', u'Kevin Randleman', u'Randy Couture', u'David Abbott', u'Mark Coleman']"
Sam Greco,[u'Lyoto Machida']
Duane Ludwig,"[u'Che Mills', u'Dan Hardy', u'Josh Neer', u'Amir Sadollah', u'Nick Osipczak', u'Darren Elkins', u'Jim Miller', u'Lyle Beerbohm', u'Yves Edwards', u'Sammy Morgan', u'Paul Daley', u'Tony Fryklund', u'Josh Thomson', u'Tyson Griffin', u'Jonathan Goulet', u'BJ Penn', u'Genki Sudo']"
Matt Brown,"[u'Robbie Lawler', u'Erick Silva', u'Mike Pyle', u'Jordan Mein', u'Mike Swick', u'Luis Ramos', u'Stephen Thompson', u'Chris Cope', u'Seth Baczynski', u'John Howard', u'Brian Foster', u'Chris Lytle', u'Ricardo Almeida', u'James Wilks', u'Pete Sell', u'Ryan Thomas', u'Matt Arroyo']"
Greg Stott,[u'Mark Kerr']
Rolando Delgado,"[u'Andre Winner', u'Paul Kelly', u'John Polakowski']"
Abel Cullum,"[u'Masakazu Imanari', u'Hideo Tokoro', u'Akiyo Nishiura']"
Valeri Ignatov,"[u'Matt Hughes', u'Evan Tanner']"
Crosley Gracie,"[u'Akihiro Gono', u'Hayato Sakurai']"
Tim Catalfo,[u'Tom Erikson']
Ryan Parker,[u'Remco Pardoel']
Brian Houston,"[u'Trevor Smith', u'Derek Brunson']"
Tommy Speer,"[u'Anthony Johnson', u'Mac Danzig', u'Sidney Silva']"
Rob McCullough,"[u'Shinya Aoki', u'Karen Darabedyan', u'Marcus Hicks', u'Donald Cerrone', u'Kenneth Alexander', u'Jamie Varner', u'Richard Crunkilton', u'Kit Cope', u'Harris Sarmiento', u'Josh Thomson']"
Josh Barnett,"[u'Travis Browne', u'Frank Mir', u'Nandor Guelmino', u'Daniel Cormier', u'Sergei Kharitonov', u'Brett Rogers', u'Siala Siliga', u'Gilbert Yvel', u'Pedro Rizzo', u'Jeff Monson', u'Hidehiko Yoshida', u'Pawel Nastula', u'Mirko Filipovic', u'Mark Hunt', u'Aleksander Emelianenko', u'Kazuhiro Nakamura', u'Mirko Filipovic', u'Mirko Filipovic', u'Randy Couture', u'Bobby Hoffman', u'Semmy Schilt', u'Pedro Rizzo', u'Gan McGee']"
Atsushi Yamamoto,"[u'Hideo Tokoro', u'Yusaku Nakamura', u'Masakazu Imanari', u'Hideo Tokoro']"
Will Chope,[u'Max Holloway']
Magno Almeida,"[u'James Terry', u'Conor Heun']"
Damacio Page,"[u'Alex Caceres', u'Brad Pickett', u'Brian Bowles', u'Demetrious Johnson', u'Will Campuzano', u'Marcos Galvao', u'Brian Bowles', u'Scott Jorgensen']"
Charlie Brenneman,"[u'Leandro Silva', u'Danny Castillo', u'Beneil Dariush', u'Kyle Noke', u'Erick Silva', u'Daniel Roberts', u'Anthony Johnson', u'Rick Story', u'Amilcar Alves', u'Johny Hendricks', u'Jason High']"
David Gardner,[u'Shinya Aoki']
Danny Davis,[u'Quinn Mulhern']
Ron Waterman,"[u'Dave Herman', u'Ricco Rodriguez', u'Ricco Rodriguez', u'Kevin Randleman', u'Mirko Filipovic', u'Valentijn Overeem', u'Satoshi Honma', u'Tim Lajcik', u'Andre Roberts', u'Chris Condo']"
Juan Miranda,[u'Clint Coronel']
Rudyard Moncayo,[u'Patrick Smith']
Pat Barry,"[u'Soa Palelei', u'Shawn Jordan', u'Lavar Johnson', u'Christian Morecraft', u'Stefan Struve', u'Cheick Kongo', u'Joey Beltran', u'Mirko Filipovic', u'Antoni Hardonk', u'Tim Hague', u'Dan Evensen']"
Renzo Gracie,"[u'Matt Hughes', u'Frank Shamrock', u'BJ Penn', u'Carlos Newton', u'Shungo Oyama', u'Michiyoshi Ohara', u'Dan Henderson', u'Kazushi Sakuraba', u'Alexander Otsuka', u'Sanae Kikuta', u'Akira Shoji']"
Jorge Patino,"[u'Andre Galvao', u'Kazuo Misaki', u'Pat Miletich']"
Brock Jardine,"[u'Kenny Robertson', u'Rick Story']"
Jameel Massouh,"[u'Erik Koch', u'Leonard Garcia', u'Raphael Assuncao']"
Abel Trujillo,"[u'Tony Ferguson', u'Jamie Varner', u'Roger Bowling', u'Roger Bowling', u'Khabib Nurmagomedov', u'Marcus LeVesseur']"
Tony Martin,"[u'Fabricio Camoes', u'Beneil Dariush', u'Rashid Magomedov']"
Erik Perez,"[u'Bryan Caraway', u'Edwin Figueroa', u'Takeya Mizugaki', u'Byron Bloodworth', u'Ken Stone', u'John Albert']"
Glover Teixeira,"[u'Phil Davis', u'Jon Jones', u'Ryan Bader', u'Quinton Jackson', u'Fabio Maldonado', u'Kyle Kingsbury', u'Jack Morrison', u'Carlton Jones', u'Eric Schwartz']"
Igor Pokrajac,"[u'Rafael Cavalcante', u'Ryan Jimmo', u'Joey Beltran', u'Vinny Magalhaes', u'Fabio Maldonado', u'Krzysztof Soszynski', u'Todd Brown', u'Stephan Bonnar', u'James Irvin', u'Vladimir Matyushenko']"
Francis Carmont,"[u'Thales Leites', u'CB Dollaway', u'Lorenz Larkin', u'Tom Lawlor', u'Karlos Vemola', u'Magnus Cedenblad', u'Chris Camozzi']"
Daisuke Sugie,[u'Josh Thomson']
Gegard Mousasi,"[u'Mark Munoz', u'Lyoto Machida', u'Ilir Latifi', u'Mike Kyle', u'Hiroshi Izumi', u'Keith Jardine', u'Tatsuya Mizuno', u""Jake O'Brien"", u'Muhammed Lawal', u'Gary Goodridge', u'Renato Sobral', u'Mark Hunt', u'Melvin Manhoef', u'Denis Kang', u'Steve Mensing', u'Evangelista Santos', u'Damir Mirenic', u'Hector Lombard', u'Akihiro Gono', u'Makoto Takimoto', u'Tsuyoshi Kurihara', u'Stefan Klever']"
Bryan Vetell,[u'Ben Rothwell']
Alejandro Garcia,[u'Nate Diaz']
Lumumba Sayers,"[u'Anthony Smith', u'Scott Smith', u'Antwain Britt', u'Derek Brunson', u'Drew Dober']"
Justin James,[u'Clay Guida']
Townsend Saunders,"[u'Mikey Burnett', u'Pat Miletich']"
Adriano Martins,"[u'Donald Cerrone', u'Daron Cruickshank', u'Jorge Gurgel', u'Keita Nakamura']"
Rubin Williams,[u'Kazushi Sakuraba']
Soichi Nishida,[u'Enson Inoue']
Julio Paulino,"[u'TJ Grant', u'Mike Pierce']"
Marcelo Guimaraes,"[u'Andy Enz', u'Dan Stittgen']"
Shinya Aoki,"[u'Antonio McKee', u'Satoru Kitaoka', u'Rob McCullough', u'Rich Clementi', u'Lyle Beerbohm', u'Yokthai Sithoar', u'Marcus Aurelio', u'Tatsuya Kawajiri', u'Gilbert Melendez', u'Mizuto Hirota', u'Joachim Hansen', u'Vitor Ribeiro', u'Hayato Sakurai', u'David Gardner', u'Eddie Alvarez', u'Todd Moore', u'Caol Uno', u'Joachim Hansen', u'Katsuhiko Nagata', u'Gesias Cavalcante', u'Gesias Cavalcante', u'Bu-Kyung Jung', u'Brian Lo-A-Njoe', u'Akira Kikuchi', u'Joachim Hansen', u'Clay French', u'George Sotiropoulos', u'Jason Black', u'Kuniyoshi Hironaka', u'Keith Wisniewski', u'Jutaro Nakao']"
Yancy Medeiros,"[u'Damon Jackson', u'Jim Miller', u'Yves Edwards', u'Rustam Khabilov', u'Gareth Joseph', u'Raul Castillo']"
Chris Kelades,[u'Patrick Holohan']
Jason Miller,"[u'CB Dollaway', u'Michael Bisping', u'Kazushi Sakuraba', u'Tim Stout', u'Jake Shields', u'Katsuyori Shibata', u'Hiromitsu Miura', u'Lodune Sincaid', u'Georges St-Pierre']"
Sheldon Westcott,[u'Elias Theodorou']
Ivan Salaverry,"[u'Rousimar Palhares', u'Terry Martin', u'Art Santore', u'Nate Marquardt', u'Joe Riggs', u'Tony Fryklund', u'Matt Lindland', u'Andrei Semenov']"
Carmelo Marrero,"[u'Ryan Bader', u'Steve Steinbeiss', u'Wilson Gouveia', u'Gabriel Gonzaga', u'Cheick Kongo']"
Josh Shockman,"[u'Cale Yarbrough', u""Jake O'Brien""]"
Alex Zuniga,[u'Bryan Caraway']
Matt Lucas,[u'Aaron Rosa']
Ricardo Lamas,"[u'Dennis Bermudez', u'Hacran Dias', u'Jose Aldo', u'Erik Koch', u'Hatsu Hioki', u'Cub Swanson', u'Matt Grice', u'Iuri Alcantara', u'Dave Jansen', u'Bendy Casimir', u'James Krause', u'Danny Castillo', u'Bart Palaszewski']"
Lukasz Les,[u'Nah-Shon Burrell']
Eric Smith,[u'Dan Henderson']
Joe Jordan,[u'Hermes Franca']
Cole Escovedo,"[u'Alex Caceres', u'Takeya Mizugaki', u'Renan Barao', u'Michihiro Omigawa', u'Yoshiro Maeda', u'Maurice Eazel', u'Urijah Faber']"
Nick Rossborough,[u'Lorenz Larkin']
Gilbert Melendez,"[u'Anthony Pettis', u'Diego Sanchez', u'Benson Henderson', u'Josh Thomson', u'Jorge Masvidal', u'Tatsuya Kawajiri', u'Shinya Aoki', u'Josh Thomson', u'Mitsuhiro Ishida', u'Rodrigo Damm', u'Josh Thomson', u'Gabe Lemley', u'Mitsuhiro Ishida', u'Tetsuji Kato', u'Tatsuya Kawajiri', u'Nobuhiro Obiya', u'Clay Guida', u'Harris Sarmiento', u'Olaf Alfonso', u'Jeff Hougland', u'Gary Quan']"
George Roop,"[u'Rob Font', u'Dustin Kimura', u'Francisco Rivera', u'Brian Bowles', u'Reuben Duran', u'Cub Swanson', u'Hatsu Hioki', u'Josh Grispi', u'Mark Hominick', u'Leonard Garcia', u'Eddie Wineland', u'George Sotiropoulos', u'David Kaplan', u'Shane Nelson']"
Don Frye,"[u'James Thompson', u'Gary Goodridge', u'Mark Coleman', u'Hidehiko Yoshida', u'Yoshihiro Takayama', u'Ken Shamrock', u'Gilbert Yvel', u'Mark Hall', u'Gary Goodridge', u'David Abbott', u'Mark Hall', u'Mark Coleman', u'Brian Johnston', u'Amaury Bitetti', u'Sam Adkins', u'Thomas Ramirez', u'Gary Goodridge']"
Gareth Joseph,[u'Yancy Medeiros']
Aaron Riley,"[u'Justin Salas', u'Tony Ferguson', u'Joe Brammer', u'Ross Pearson', u'Shane Nelson', u'Shane Nelson', u'Jorge Gurgel', u'Spencer Fisher', u'Michihiro Omigawa', u'Robbie Lawler']"
Dan Hardy,"[u'Amir Sadollah', u'Duane Ludwig', u'Chris Lytle', u'Anthony Johnson', u'Carlos Condit', u'Georges St-Pierre', u'Mike Swick', u'Marcus Davis', u'Rory Markham', u'Akihiro Gono']"
Javier Vazquez,"[u'Joe Stevenson', u'Chad Mendes', u'Mackens Semerzier', u'Jens Pulver', u'Deividas Taurosevicius', u'LC Davis']"
Iouri Kotchkine,[u'Heath Herring']
Xavier Foupa-Pokam,"[u'Drew McFedries', u'Denis Kang']"
Thiago Tavares,"[u'Robert Peralta', u'Justin Salas', u'Khabib Nurmagomedov', u'Sam Stout', u'Spencer Fisher', u'Shane Roller', u'Pat Audinwood', u'Nik Lentz', u'Manvel Gamburyan', u'Kurt Pellegrino', u'Matt Wiman', u'Michihiro Omigawa', u'Tyson Griffin', u'Jason Black', u'Naoyuki Kotani']"
Bristol Marunde,"[u'Viscardi Andrade', u'Clint Hester']"
Marcin Bandel,[u'Mairbeck Taisumov']
Chuck O'Neil,[u'Chris Cope']
Frank Megallon,[u'Sam Spengler']
Luis Ramos,"[u'Matt Brown', u'Erick Silva']"
Pawel Nastula,"[u'Josh Barnett', u'Edson Drago', u'Aleksander Emelianenko']"
Leo Sylvest,[u'Rich Franklin']
Scott McAfee,[u'Marcus Hicks']
Ron Stallings,[u'Adlan Amagov']
Dave Beneteau,"[u'Carlos Barreto', u'Oleg Taktarov', u'Oleg Taktarov', u'Todd Medina', u'Asbel Cancio', u'Dan Severn']"
Nick Pace,"[u'Miguel Torres', u'Ivan Menjivar', u'Will Campuzano', u'Demetrious Johnson']"
Semmy Schilt,"[u'Siala Siliga', u'Sergei Kharitonov', u'Gan McGee', u'Fedor Emelianenko', u'Yoshihiro Takayama', u'Masaaki Satake', u'Akira Shoji', u'Josh Barnett', u'Pete Williams']"
Chatt Lavender,[u'Tony DeSouza']
Dave Berry,[u'Roberto Traven']
Justin Bruckmann,[u'Georges St-Pierre']
Yoshihiro Takayama,"[u'Don Frye', u'Semmy Schilt', u'Kazuyuki Fujita']"
Daniel Roberts,"[u'Charlie Brenneman', u'Rich Attonito', u'Claude Patrick', u'Greg Soto', u'Mike Guymon', u'Forrest Petz', u'John Howard']"
Takanori Gomi,"[u'Myles Jury', u'Isaac Vallie-Flagg', u'Diego Sanchez', u'Mac Danzig', u'Eiji Mitsuoka', u'Nate Diaz', u'Clay Guida', u'Tyson Griffin', u'Kenny Florian', u'Nick Diaz', u'Mitsuhiro Ishida', u'Marcus Aurelio', u'David Baron', u'Marcus Aurelio', u'Hayato Sakurai', u'Tatsuya Kawajiri', u'Luiz Azeredo', u'Jean Silva', u'Luiz Azeredo', u'Jens Pulver', u'Charles Bennett', u'Fabio Mello', u'Ralph Gracie', u'Jadson Costa', u'BJ Penn']"
Coty Wheeler,"[u'Will Campuzano', u'Charlie Valencia', u'Del Hawkins', u'Ian McCall']"
Roland Delorme,"[u'Michinori Tanaka', u'Alex Caceres', u'Edwin Figueroa', u'Francisco Rivera', u'Nick Denis', u'Josh Ferguson']"
Renan Barao,"[u'T.J. Dillashaw', u'Urijah Faber', u'Eddie Wineland', u'Michael McDonald', u'Urijah Faber', u'Scott Jorgensen', u'Brad Pickett', u'Cole Escovedo', u'Chris Cariaso', u'Anthony Leone']"
Sherman Pendergarst,[u'Antoni Hardonk']
Mike Rio,"[u'Daron Cruickshank', u'Tony Ferguson', u'Francisco Trinaldo', u'John Cofer']"
Dan Cramer,"[u'Matthew Riddle', u'Matt Arroyo']"
Yuki Kondo,"[u'Akihiro Gono', u'Phil Baroni', u'Kazuhiro Nakamura', u'Igor Vovchanchyn', u'Dan Henderson', u'Wanderlei Silva', u'Mario Sperry', u'Vladimir Matyushenko', u'Tito Ortiz', u'Alexandre Dantas']"
Kevin Burns,"[u'TJ Grant', u'Chris Lytle', u'Anthony Johnson', u'Anthony Johnson', u'Roan Carneiro']"
Yoshihiro Akiyama,"[u'Amir Sadollah', u'Jake Shields', u'Vitor Belfort', u'Michael Bisping', u'Chris Leben', u'Alan Belcher', u'Masanori Tonooka', u'Katsuyori Shibata', u'Kazuo Misaki', u'Denis Kang', u'Kazushi Sakuraba', u'Melvin Manhoef', u'Kestutis Smirnovas', u'Taiei Kin', u'Katsuhiko Nagata', u'Tokimitsu Ishizawa', u'Masakatsu Okuda', u'Michael Lerma', u'Carl Toomey', u'Jerome LeBanner', u'Francois Botha']"
Asbel Cancio,[u'Dave Beneteau']
Mike Cook,"[u'Scott Lighty', u'Daniel Puder', u'Carlton Jones']"
Yuhi Sano,"[u'Carlos Newton', u'Satoshi Honma', u'Royler Gracie']"
Yurij Kiseliov,[u'Kazushi Sakuraba']
Paul Taylor,"[u'Gabe Ruediger', u'Sam Stout', u'John Hathaway', u'Peter Sobotta', u'Chris Lytle', u'Jess Liaudin', u'Paul Kelly', u'Marcus Davis']"
Marcos Vinicius,"[u'Ali Bagautinov', u'Johnny Bedford', u'Wagner Campos']"
Joey Armstrong,[u'Sam Spengler']
Ralph Gracie,"[u'Takanori Gomi', u'Dokonjonosuke Mishima']"
Gabriel Gonzaga,"[u'Stipe Miocic', u'Shawn Jordan', u'Dave Herman', u'Travis Browne', u'Ben Rothwell', u'Ednaldo Oliveira', u'Brendan Schaub', u'Chris Tuchscherer', u'Shane Carwin', u'Josh Hendricks', u'Justin McCully', u'Fabricio Werdum', u'Randy Couture', u'Mirko Filipovic', u'Carmelo Marrero', u'Fabiano Scherner', u'Kevin Jordan', u'Fabricio Werdum']"
Levi Avera,[u'Paul Bradley']
Ross Pearson,"[u'Al Iaquinta', u'Gray Maynard', u'Diego Sanchez', u'Melvin Guillard', u'Ryan Couture', u'George Sotiropoulos', u'Cub Swanson', u'Junior Assuncao', u'Edson Barboza', u'Spencer Fisher', u'Cole Miller', u'Dennis Siver', u'Aaron Riley', u'Andre Winner']"
Waachiim Spiritwolf,"[u'Marius Zaromskis', u'Billy Evangelista']"
Jorge Lopez,"[u'Amir Sadollah', u'Justin Edwards']"
Maka Watson,"[u'Ryan Couture', u'Bill Cooper']"
Jay Silva,"[u'Chris Leben', u'CB Dollaway']"
Daniel Puder,"[u'Richard Dalton', u'Mike Cook', u'Tom Tuggle', u'Jesse Fujarczyk']"
Magnus Cedenblad,"[u'Scott Askham', u'Krzysztof Jotko', u'Jared Hamman', u'Francis Carmont']"
Tony Juarez,[u'Nate Diaz']
Pete Spratt,"[u'Donnie Liles', u'Tamdan McCrory', u'Marcus Davis', u'Jeremy Jackson', u'Josh Koscheck', u'Georges St-Pierre', u'Robbie Lawler', u'Carlos Newton', u'Zach Light']"
Felipe Arantes,"[u'Andre Fili', u'Maximo Blanco', u'Godofredo Pepey', u'Milton Vieira', u'Antonio Carvalho', u'Iuri Alcantara']"
Rustam Khabilov,"[u'Benson Henderson', u'Jorge Masvidal', u'Yancy Medeiros', u'Vinc Pichel']"
Marcus Davis,"[u'Jeremy Stephens', u'Nate Diaz', u'Jonathan Goulet', u'Ben Saunders', u'Dan Hardy', u'Chris Lytle', u'Paul Kelly', u'Mike Swick', u'Jess Liaudin', u'Paul Taylor', u'Jason Tan', u'Pete Spratt', u'Shonie Carter', u'Forrest Petz', u'Melvin Guillard']"
Ralek Gracie,"[u'Kazushi Sakuraba', u'Alavutdin Gadjiev']"
Ruan Potts,"[u'Anthony Hamilton', u'Soa Palelei']"
Yoshihiro Nakao,"[u'Edson Drago', u'Kazuhiro Nakamura']"
Waylon Lowe,"[u'Nik Lentz', u'Willamy Freire', u'Steve Lopez', u'Melvin Guillard']"
Anthony Leone,"[u'Josh LaBerge', u'Renan Barao']"
Guilherme Vasconcelos,[u'Luke Zachrich']
Makoto Takimoto,"[u'Murilo Bustamante', u'Zelg Galesic', u'Gegard Mousasi', u'Sanae Kikuta', u'Kiyoshi Tamura', u'Henry Miller']"
Ruben Villareal,"[u'Paul Buentello', u'Bas Rutten']"
Doug Marshall,"[u'Brian Stann', u'Ariel Gandulla', u'Justin McElfresh']"
Johnny Bedford,"[u'Rani Yahya', u'Cody Gibson', u'Rani Yahya', u'Bryan Caraway', u'Marcos Vinicius', u'Louis Gaudinot']"
Gerard Gordeau,"[u'Teila Tuli', u'Royce Gracie', u'Kevin Rosier']"
Ray Perales,[u'Lyle Beerbohm']
David Avellan,[u'Aaron Simpson']
Alex Soto,"[u'Francisco Rivera', u'Michael McDonald']"
Mike Swick,"[u'Matt Brown', u'DaMarques Johnson', u'Paulo Thiago', u'Dan Hardy', u'Ben Saunders', u'Jonathan Goulet', u'Marcus Davis', u'Josh Burkman', u'Yushin Okami', u'David Loiseau', u'Joe Riggs', u'Steve Vigneault', u'Gideon Ray', u'Alex Schoenauer', u'Chris Leben', u'Kengo Ura', u'James Gabert']"
Remco Pardoel,"[u'Ryan Parker', u'Marco Ruas', u'Orlando Wiet', u'Royce Gracie']"
Roman Mitichyan,"[u'George Sotiropoulos', u'Dorian Price']"
Royce Alger,"[u'Eugene Jackson', u'Enson Inoue']"
David Lee,"[u'Junior Assuncao', u'Tyson Griffin']"
